000000.png	[[1.4576, 1.6073, 3.8146, -6.0799, 1.9278, 34.6102, 1.6327], [1.4886, 1.6074, 3.9459, 6.6256, 1.7935, 30.6765, -1.5127], [1.4448, 1.5751, 3.7199, -10.627, 2.2202, 23.0669, -1.4898]]	[[array([0.]), array([0.]), array([0.])], [array([0.]), array([0.]), array([0.])], [array([0.]), array([0.]), array([0.])]]
000001.png	[[1.4576, 1.6073, 3.8146, -6.218967939167055, 1.8679067254679234, 32.88565392452993, 1.6327], [1.4886, 1.6074, 3.9459, 6.501818541521784, 1.739622115701181, 29.001473078411696, -1.5127], [1.4680833333333334, 1.5890333333333333, 3.7882833333333337, -10.5829137866406, 2.1816993688353885, 24.65206766550816, -1.5425083333333331]]	[[array([0.]), array([0.]), array([0.])], [array([0.]), array([0.]), array([0.])], [array([0.138]), array([0.006]), array([3.323])]]
000002.png	[[1.5889, 1.642, 4.0054, -7.5487, 2.1447, 18.1882, 1.6072], [1.612, 1.6549, 4.0504, -5.2495, 1.9012, 49.2389, 1.6843], [1.4699, 1.6135, 3.8969, -7.6701, 2.1635, 13.9034, 1.5755], [1.4571384615384615, 1.6098846153846154, 3.8093384615384616, -6.222204005918936, 1.9381978834743532, 34.103221747862065, 1.6065769230769231], [1.4855742857142857, 1.6016285714285714, 3.84126, -10.639214778209316, 2.3174233581049437, 26.103963790415666, -1.56432]]	[[array([0.]), array([0.]), array([0.])], [array([0.]), array([0.]), array([0.])], [array([0.]), array([0.]), array([0.])], [array([0.08]), array([0.042]), array([1.565])], [array([0.093]), array([0.116]), array([3.374])]]
000003.png	[[1.4652052631578947, 1.5868684210526316, 3.7318131578947367, -6.389408332433619, 1.887062989011827, 32.62491559238262, -1.4566501183333502], [1.4630139784946237, 1.5898236559139785, 3.7416870967741938, -10.60097807177468, 2.23691240708682, 27.427990613537947, -1.5212129032258064]]	[[array([0.034]), array([-0.033]), array([0.788])], [array([0.136]), array([-0.005]), array([3.232])]]
000004.png	[[1.4652052631578947, 1.5868684210526316, 3.7318131578947367, -6.520228511836805, 1.881551422392251, 31.655065734303992, -1.4566501183333502], [1.4441922131147542, 1.5765036885245902, 3.685503278688525, -10.588839359659952, 2.2327914214498468, 28.94647725404179, -1.5155733606557378]]	[[array([0.034]), array([-0.033]), array([0.788])], [array([0.145]), array([-0.016]), array([3.255])]]
000005.png	[[1.4610142857142856, 1.5863057142857142, 3.856254285714286, -25.99777867271398, 2.587836785017962, 31.476812250641185, 1.6034942857142855], [1.4810468085106383, 1.6129255319148936, 3.841614893617021, -5.885468947536991, 1.7290472793283678, 43.158647646272605, 1.6639000000000002], [1.5152846635367763, 1.630280751173709, 4.043164788732394, -10.694685721343, 2.14441119573537, 30.673571517831682, 1.570373564125054]]	[[array([-0.152]), array([-0.098]), array([-3.008])], [array([0.027]), array([-0.129]), array([-0.283])], [array([0.121]), array([-0.044]), array([3.374])]]
000006.png	[[1.4610142857142856, 1.5863057142857142, 3.856254285714286, -26.258278394621087, 2.4806075429867245, 26.63567614191369, 1.6034942857142855], [1.4677317829457364, 1.6223806201550388, 3.934284496124031, -6.084311852282535, 1.747063421331949, 42.21202937324568, 1.6468643410852715], [1.487852659892409, 1.6374620442319188, 4.093928571428571, -10.729301628875847, 2.1678826448885036, 32.27522204988497, -1.5670045416425393]]	[[array([-0.152]), array([-0.098]), array([-3.008])], [array([0.004]), array([-0.088]), array([0.099])], [array([0.115]), array([-0.032]), array([3.375])]]
000007.png	[[1.4677317829457364, 1.6223806201550388, 3.934284496124031, -6.223640629865313, 1.6614147706108406, 40.372398626612835, 1.6468643410852715], [1.4569182876712328, 1.6400194520547946, 4.110536095890411, -10.765432177784218, 2.2454932698788195, 33.804094354296964, -1.5525396799470248]]	[[array([0.004]), array([-0.088]), array([0.099])], [array([0.11]), array([-0.009]), array([3.395])]]
000008.png	[[1.4621602773175197, 1.6325910177029737, 4.082331420598238, -10.78314183072897, 2.384952316223269, 35.269096471535136, -1.5328616637453534]]	[[array([0.104]), array([0.013]), array([3.37])]]
000009.png	[[1.5141614902901301, 1.6372936277938777, 3.9968378934745674, -10.706795799650186, 2.2607054906349164, 36.78671976358992, 1.5979580447202355]]	[[array([0.109]), array([-0.02]), array([3.359])]]
000010.png	[[1.4897729477327089, 1.6047271744109115, 3.967334252379256, -10.595799933422969, 2.4175973530891595, 38.2676877992712, -1.5289658136911928]]	[[array([0.117]), array([0.006]), array([3.369])]]
000011.png	[[1.4748950477967797, 1.5989626635952314, 3.8886991597292084, -10.624711577246208, 2.4369655963458663, 39.77744478399197, -1.5453648427244067]]	[[array([0.106]), array([0.015]), array([3.358])]]
000012.png	[[1.475145322022257, 1.6149310156764833, 3.829121202513435, -10.91567686337518, 2.4202077758711966, 40.932622635858905, 1.467597749711508]]	[[array([0.069]), array([0.017]), array([3.331])]]
000013.png	[[1.4727687823147195, 1.6014387059789499, 3.911430225944235, -10.777551454939298, 2.2244356742976654, 42.724437082785784, -1.5972382320489351]]	[[array([0.088]), array([-0.004]), array([3.36])]]
000014.png	[[1.4777323478153008, 1.5828737647057867, 3.940335535957018, -10.723952824130215, 2.157171539105671, 44.21296195583574, 1.5633562340324942]]	[[array([0.097]), array([-0.01]), array([3.353])]]
000015.png	[[1.480678918911985, 1.6065606807784563, 4.00922436327343, -10.46412764236994, 2.2489958687285014, 45.64313541632652, 1.5896497274098562]]	[[array([0.127]), array([0.003]), array([3.342])]]
000016.png	[[1.483287690493648, 1.5871169107481573, 4.047527413244871, -10.46403274107508, 2.2840994784530695, 47.04369348213629, 1.6172451134775163]]	[[array([0.129]), array([0.011]), array([3.347])]]
000017.png	[[1.4855542857142858, 1.5732, 3.9479828571428572, -11.253419900282154, 2.2250866026030933, 14.636297530395115, -1.5703142857142858], [1.483287690493648, 1.5871169107481573, 4.047527413244871, -10.46811418104109, 2.383693534609052, 48.56658146077634, 1.6172451134775163]]	[[array([0.044]), array([-0.01]), array([3.553])], [array([0.129]), array([0.011]), array([3.347])]]
000018.png	[[1.4637736842105264, 1.622671052631579, 3.944, -5.923810455394661, 1.907780468300406, 39.85091072625925, 1.6227342105263158], [1.440305376344086, 1.564531182795699, 3.8177118279569893, -11.29224248398483, 2.192104767463858, 16.184989020501035, -1.5737354838709678]]	[[array([0.142]), array([-0.014]), array([2.226])], [array([0.027]), array([-0.028]), array([3.463])]]
